title,dayofyear,hour
"How 2 fillet with Dr Jim Saltwater fishing with dr Jim",14,19
"How a book is made",6,19
"How a house is built",6,12
"How a plant grows",19,16
"How a second home can be your best investment",12,19
"How a seed grows",8,9
"How about going for a ride",1,14
"How Al Anon works for families friends of alcoholics",58,15
"How Alcoholics Anonymous failed me my personal journey to sobriety through self empowerment",7,17
"How America got it right the U S march to military and political supremacy",30,17
"How America lost Iraq",3,12
"How Angel Peterson got his name",20,17
"How animal babies stay safe",3,10
"How animals care for their babies",28,11
"How animals communicate",90,17
"How animals saved the people animal tales from the South",12,18
"How animals see other visions of our world",1,11
"How animals work",25,16
"How arbitration works Elkouri Elkouri",38,13
"How are you peeling foods with moods",1,11
"How Arnold won the West",41,18
"How babies talk the magic and mystery of language in the first three years of life",24,17
"How Barisat bellowed folklore humor and iconography in the Jewish apocalypses and the Apocalypse of John",68,17
"How baseball works",19,17
"How basketball works",7,19
"How beastly a menagerie of nonsense poems",19,18
"How bees make honey",43,10
"How Ben Franklin stole the lightning",1,12
"How big",5,19
"How big is a foot",35,16
"How birds fly",3,14
"How birds migrate",13,14
"How blue can you get classic live performances 1964 to 1994",0,14
"How bluegrass music destroyed my life stories",21,18
"How boat things work an illustrated guide",6,15
"How books are made",90,19
"How Buddhism changed my life",30,13
"How buildings learn what happens after theyre built",7,19
"How buildings work the natural order of architecture",26,15
"How can a brilliant detective shine in the dark",38,10
"How can a Christian be in politics a guide toward faithful politics",16,15
"How can a frozen detective stay hot on the trail",65,12
"How can I be a detective if I have to baby sit",45,10
"How can I forgive you the courage to forgive the freedom not to",27,17
"How can I get through to you reconnecting men and women",15,17
"How can I help stories and reflections on service",14,11
"How can I keep from singing Pete Seeger",40,14
"How can we keep from singing music and the passionate life",37,12
"How can we talk about that overcoming personal hang ups so we can teach kids the right stuff about sex and morality",88,16
"How can you be in two places at once when youre not anywhere at all",1,17
"How can you dance",3,17
"How capitalism saved America the untold history of our country from the Pilgrims to the present",1,16
"How caterpillars turn into butterflies",10,15
"How champions sell",9,14
"How children and adolescents evaluate gender and racial exclusion",42,18
"How children fail",5,13
"How children learn",1,10
"How children learn the meanings of words",31,11
"How children lived",42,19
"How children raise parents the art of listening to your family",22,10
"How Chinese managers learn management and industrial training in China",24,15
"How Chipmunk got his stripes a tale of bragging and teasing",0,10
"How cities work",14,13
"How clean is your house",10,12
"How come the best clues are always in the garbage",45,10
"How communities build stronger schools stories strategies and promising practices for educating every child",87,13
"How computers work",1,16
"How Congress works",25,12
"How consciousness functions",9,17
"How could you do this to me mum",29,19
"How customers think essential insights into the mind of the market",27,15
"How democratic is the American Constitution",9,16
"How designers think",8,19
"How did I get here finding your way to renewed hope and happiness when life and love take unexpected turns",38,14
"How did I get here so fast rhetorical questions and available answers from a long and happy life",13,16
"How did I get to be 40 other atrocities",29,14
"How did this happen terrorism and the new war",9,14
"How did we find out about black holes",69,17
"How digital is your business",35,15
"How dinosaurs came to be",19,19
"How do animals adapt",6,16
"How do animals find food",42,10
"How do animals move",3,16
"How do apples grow",17,10
"How do astronauts scratch an itch",30,11
"How do astronauts scratch an itch an Imponderables book",82,15
"How do birds find their way",3,14
"How do dinosaurs eat their food",0,11
"How do dinosaurs get well soon",0,10
"How do Dinosaurs say good night",0,10
"How do dinosaurs say good night and more stories that rhyme",0,14
"How do flies walk upside down questions and answers about insects",3,16
"How do I feel about my stepfamily",18,15
"How do I love thee three stories",17,13
"How do I love you",0,12
"How do I move",59,16
"How do octopi eat pizza pie pizza math",88,14
"How do our ears hear",1,11
"How do our eyes see",3,12
"How do they do that",0,11
"How do we feel and touch",0,15
"How do we get there from here a transportation future for the Puget Sound Region",8,19
"How do we know how stars shine",11,16
"How do we know the age of the earth",28,10
"How do we know the Earth is round",12,19
"How do we know the laws of motion",6,19
"How do we know the nature of the atom",84,16
"How do we know when its God a spiritual memoir",43,17
"How do we taste and smell",7,17
"How do we think",19,15
"How do you know its spring",15,10
"How do you know its winter",31,11
"How do you know what time it is",2,15
"How do you know youre not wrong responding to objections that leave Christians speechless",17,17
"How do you lift a lion",13,18
"How do you lift a walrus with one hand more profound answers to preposterous questions",34,16
"How do you like me now",6,11
"How do you lose those ninth grade blues a novel",32,13
"How do you raise a raisin",3,10
"How do you say it today Jesse Bear",0,10
"How does that grab you",0,18
"How dogs really work",3,12
"How dogs think understanding the canine mind",0,15
"How Droofus the dragon lost his head",6,17
"How Ecology regulates wetlands an introduction to regulatory authority wetland definitions and delineation wetland characterization and function assessment wetland mitigation buffers and more",2,17
"How electronic things work and what to do when they dont",83,13
"How Elizabeth Barrett Browning saved my life",36,12
"How Emily Blair got her fabulous hair",54,14
"How Evan broke his head and other secrets a novel",0,14
"How far is a star",65,17
"How far to Bethlehem a novel",36,14
"How far to heaven",54,19
"How far will a rubber band stretch",16,11
"How far would you have gotten if I hadnt called you back",19,19
"How few remain",14,15
"How fish swim",83,18
"How Fletcher was hatched",12,17
"How foundations work what grantseekers need to know about the many faces of foundations",32,16
"How full is your bucket positive strategies for work and life",4,14
"How Ganesh got his elephant head",4,16
"How German is it Wie Deutsch ist es a novel",5,13
"How glory goes",11,13
"How good do we have to be a new understanding of guilt and forgiveness",12,18
"How good do you want to be a champions tips on how to lead and succeed at work and in life",37,17
"How good guys grow rich proven strategies to achieve financial success and lifelong satisfaction",0,12
"How great Thou art",5,18
"How green was my valley",9,13
"How Groundhogs garden grew",3,11
"How Harvard rules reason in the service of empire",63,19
"How high can a dinosaur count and other math mysteries",23,12
"How high can we climb the story of women explorers",26,14
"How Hitler could have won World War II the fatal errors that led to Nazi defeat",17,16
"How hockey works",60,15
"How Hollywood invented the Wild West featuring the real west campfire melodies matinee idols four legged friends cowgirls lone guns",90,17
"How humans make friends",35,17
"How I became a pirate",1,12
"How I became a writer and Oggie learned to drive",10,17
"How I became champion of the universe",10,13
"How I became stupid",1,19
"How I came to know fish",2,13
"How I captured a dinosaur",9,13
"How I created my perfect prom date",31,15
"How I do",21,15
"How I fell in love learned to shoot free throws",17,17
"How I fixed the Year 1000 problem",24,11
"How I found the Strong a Civil War story",55,14
"How I gave up my low fat diet and lost 40 pounds and how you can too the ultimate guide to low carbohydrate dieting",24,17
"How I got my shrunken head",10,17
"How I got this way",17,12
"How I grew",22,11
"How I learned not to be a photojournalist",69,18
"How I learned to cook and other writings on complex mother daughter relationships",13,11
"How I learned to drive",14,15
"How I learned to fly",0,19
"How I left the great state of Tennessee and went on to better things a novel",45,14
"How I live now",3,15
"How I lost 5 pounds in 6 years an autobiography",4,15
"How I made a hundred movies in Hollywood and never lost a dime",14,14
"How I overcame shyness 100 celebrities share their secrets",28,13
"How I paid for college a novel of sex theft friendship musical theater",1,15
"How I paint secrets of a Sunday painter",5,17
"How I play golf",2,16
"How I play golf the long game",7,15
"How I play the chromatic harmonica",8,18
"How I raised myself from failure to success in selling",38,16
"How I spent my last night on Earth",21,13
"How I spent my summer vacation",0,12
"How I spent my summer vacation an Amanda Pepper mystery",52,10
"How I stayed alive when my brain was trying to kill me one persons guide to suicide prevention",87,13
"How I stole her husband",10,14
"How I survived my summer vacation and lived to write the story",13,16
"How I survived the Irish famine the journal of Mary OFlynn",13,14
