id,title,dayofyear,hour
66,"how to build website tutorials",86,16
724,"how to make measurment scales",30,0
724,"how to make a crawdad trap",42,17
724,"how to get a liscence back after a suspension",70,2
724,"how to make small weight scales",30,0
724,"how to weave an indian basket",58,18
724,"how to play slots",81,2
724,"how to install a glue down floor",0,7
724,"how to catch perch",42,16
724,"how to get your drivers liscence back if conv",70,1
724,"how to make scales",30,0
724,"how to catch perch in traps",42,17
724,"how to get your drivers licence back if convi",70,1
1038,"how good are the conferece teams",3,20
1038,"how to become a player agent",11,23
1038,"how to write fractions in microsoft wod",4,19
1038,"how to dye ur hair blonde",14,19
1038,"how to write fractions in microsoft word",4,19
1038,"how to dye dark hair blonde",14,19
1038,"how to take optygen",7,9
1927,"how do you use a downloaded font",32,20
1927,"how to make a pixie",39,15
2268,"how many steps equel a mile",0,8
2268,"how many steps equal a mile",0,8
2268,"how small will breast get after weight loss",26,9
2268,"how to hook up a nintendo nes",42,16
2470,"how do i use oto acetic antiseptic otic for d",14,12
2470,"how many calories can you burn on a stair ste",30,11
2470,"how many calories can i burn on a stepper",30,11
2470,"how to clean e mail ouf hard drive",62,15
2470,"howo write up a flyer to rent your house",7,15
2470,"how many calories can i burn on a stair stepp",30,11
2470,"how to clean email ouf hard drive",62,15
2470,"how to write up a flyer to rent your house",7,15
2470,"how long to exercise on a stepper to burn cal",30,11
2470,"how to change a flat tire on a 2001 toyota co",71,9
2708,"how to torment someone",0,17
2708,"how to drive someone crazy",2,17
2708,"how to say goodbye hurtfully",4,20
2708,"how to send junk mail to someone else",17,16
2708,"how to permantlly delete information from you",18,14
2708,"how to send email anonymously",20,19
2708,"how to humiliate someone",2,7
2708,"how to get revenge on an old lover",2,17
2708,"how to report child neglect in the state of n",10,17
2708,"how to send things anounmously",18,12
2708,"how to permanently delete information from yo",18,14
2708,"how to stop loving someone",20,23
2708,"how humiliate someone",2,16
2708,"how to really make someone hurt for the pain ",2,17
2708,"how to get back on an ex lover",17,15
2708,"how to send things anonymously",18,12
2708,"how to send alot of junk mail to someonne wit",20,19
2708,"how to make someone misreable",2,17
2708,"how to make an old lover suffer",4,15
2708,"how to move on from a broken heart",17,16
2708,"how to ruin someone's credit",18,13
2708,"how to send emal anonmously",20,19
2722,"how to make tulle butterflies",42,15
2722,"how to remove adware from computer",81,15
3326,"how to make a castle",52,12
3399,"how does the old micdonalds song go",14,2
3399,"how does the old macdonalds song go",14,2
4096,"howerd johnson ft lauderdale",4,17
4096,"howard johnson ft lauderdale",4,17
4096,"howard jonson ft. laderdarle",4,16
4608,"how to replace f-150 t-case seal",26,17
4727,"how to score your sat.",54,16
4727,"how do they score the new sat",69,11
4781,"howard stern",38,9
4945,"how the body works",34,20
4945,"how to print a t shirt",40,2
4945,"how musch sunlight water needed for vegetable",47,22
5070,"how to apply vinyl graphics",28,21
5070,"how to make a 2.2 mazda faster",73,14
5896,"how to use mind control",86,2
5939,"how to set front end toe on a jr. dragster",11,22
6165,"how to get over new job anixety",78,22
6165,"how to supervise a micrographics unit",80,16
6165,"how to be a good supervisor",80,17
6165,"how to hold a staff meeting",78,22
6165,"how to manage a document imaging department",88,19
6304,"how 20to 20make 20a 20girl 20cum 20whil 20eat",4,1
6304,"how 20to 20make 20a 20girl 20cum",4,1
6304,"how 20to 20make 20a 20girl 20cum 20while 20ea",4,1
6304,"how 20to 20make 20a 20 girl 20 com 20 while 2",4,1
6479,"how women find good men",29,15
6479,"how to make lots of monehy",51,19
6824,"how many points will charge offs lower your c",5,22
6824,"how many teaspoons is 2 ounces",89,14
6824,"how to increase your appetite",15,17
6824,"how to tell if you have valueable stamps",24,17
6824,"how many questions on the ca driving test",29,15
7005,"howard miller clock",49,11
7007,"how much are acdc tickets when they come to w",4,10
7007,"how am i able to get my high school diploma",41,15
7092,"how to stain oak wood dark",57,13
7092,"how to convert inches to millimeters",65,10
7092,"how to varnish wood",47,13
7092,"how to stain bar",47,13
7107,"how to build a wood fire",10,12
7117,"how to file pro se online",82,10
7459,"how to get over a heartbreak from the one you",67,19
7459,"how big is your baby at 7months",67,19
8041,"how much does 50ml of corn syrup weigh",73,16
8663,"how to tighten skin",28,11
8663,"how to lower body fat",2,13
8663,"how to tight skin",28,11
8690,"how to make a lei",29,17
8690,"how to make a carnation lei",29,17
8873,"how to know when menopause is over",26,15
8873,"howard johnson- lancaster",66,21
9257,"how to keep raccoons from climbing on the roo",10,19
9257,"how long is it taking to receive the state of",27,15
9257,"how do you get a curl to stay in baby fine ha",58,14
9482,"how to make traxxas revo do wheelies",11,21
9482,"how to tune your nitro",1,22
10215,"how to know if frog eggs will hatch",38,19
10215,"how long to cure mange",70,19
10215,"how to fertilize frog eggs",38,19
10215,"how to train dog",4,12
10215,"how to measure layback in dogs",43,21
10215,"how frogs make babies",38,18
10215,"how to measure layback in boxers",43,21
10291,"how long drugs stay in system",12,8
10436,"how to start an after school program in nyc",0,20
10436,"how to start a charter school",0,20
10436,"how to start a charter school in nyc",0,20
10718,"how to downgrade aol to previous versions",15,23
10718,"how to downgrade aol",15,22
10822,"how to get autographs from the weather channe",29,11
11287,"how to attach lanyard cell phone",43,14
11909,"how 20stella 20got 20her 20groove 20back",57,18
12110,"how long can i keep milk in the frigerator",0,14
12110,"how to install a tile roof",46,8
12110,"how does a electric saw work",82,11
12243,"how to love destructive people",71,18
12495,"how to calibrate omron pedometer",66,18
12495,"how to install lag screws",58,12
12495,"how to apply tile grout coloring",72,12
12495,"how to build a workbench",58,20
12495,"how to build a work bench",59,17
12679,"how to find the big dipper",78,18
13112,"how do storm water injection well work in flo",53,15
13112,"how to calculate the amperes interruption cur",66,19
13112,"how much is an ounce in grams",0,18
13112,"how fast is a cessna 210",40,11
13119,"how to complain about your doctor in florida",7,16
13119,"how much is guns worth",18,19
13119,"how to resurface wood floors",29,22
13119,"how the word jeep came about for army recruit",38,12
13119,"how to install chain on yers dog rover",56,15
13119,"how to tell if if icing starts on aircraft su",73,19
13119,"how to tune up a yamaha gas golf cart",84,12
13119,"how to complain about a doctor in florida",7,16
13119,"how redue parkay floors",29,21
13119,"how to keep cats out of attic",31,12
13119,"how the word jeep came about for young recrui",38,12
13119,"how much social sercurity will i get",67,12
13119,"how to tell if icing is forming on old aircra",73,20
13119,"how to measure gun barrel length",90,17
13119,"how to complain about your doctor",7,16
13119,"how to get id of dollar weed",18,18
13119,"how to resurface parkay floors",29,21
13119,"how to keep cats off roofs",32,13
13119,"how to disconnect theaf warning on 1998 malib",53,15
13119,"how much social security will i get",67,12
13119,"how much is used colt buntlinescout 22l",82,14
13119,"how to complain about doctors care",7,16
13119,"how to get rid of dollar weed",18,18
13119,"how to resurface parquet floors",29,21
13119,"how to get scratches out of glass",34,16
13119,"how to disconnect thief warning on 1998 malib",53,15
13119,"how long does penske keep moving trucks",67,18
13119,"how much is used colt buntline scout 22l",82,15
13152,"how to install drawer slides",6,13
13152,"how to get rid od fox tail weeds",79,15
13152,"how to paint a bathroom",50,13
13152,"how to wash a cotton quilt",80,12
13152,"how to drain a vinyl pool",69,15
13152,"how to care for a cotton quilt",80,12
13152,"how to start up a above ground pool",78,12
13373,"how to paint concrete floor",51,10
13379,"howard stern lawsuit",0,7
13470,"how are people not conserving water",25,12
13577,"how much should a pastor be paid",9,10
13693,"how vietnam effected socially",55,18
13693,"how to become a detective",81,19
13693,"how vietnam affected socially",55,18
13693,"how to be a fantastic ballet dancer",62,15
13693,"how to get over the fear of upside down rolle",29,17
13693,"how vietnam war started",73,15
13820,"how to potty train a chihuaha fast",25,15
13820,"how to potty train a chihuahua fast",25,15
13820,"how to house break a chihuaha",25,14
13820,"how to housebreak a chihuahua",25,14
14668,"how to get a cat to stop scratchign my walls",16,23
14668,"how many days did goliath challenge the peopl",35,12
14668,"how to get a cat to stop scratching my walls",16,23
14668,"how to get a perm to loosen up",55,23
14668,"how do you handle someone that dont respond t",0,7
14668,"how to get the check engine light off",22,14
14668,"how do you pronounce the last name kyles",74,19
14668,"how does the inmate trust fund work",8,12
14668,"how to cure a sinus infection",26,7
14668,"how to make a protein smoothie",85,10
14669,"how much is a 1926 dime worth.com",54,20
14987,"how much pollution is in nyc",67,12
15571,"how to use a compass in geometry",16,16
15571,"how to get oil based paint off aluminum scree",33,9
15571,"how to wire the ji8000",68,13
15571,"how to correct high potassium in blood",79,12
15571,"how to find a model number on american standa",4,19
15571,"how to use a compass in 4th grade geometry",16,16
15571,"how to paint the cedar siding",33,9
15571,"how to rwire the jandy ji8000",68,13
15571,"how to correct high potassium from chemothera",79,13
15571,"how to claim religious exemptions for immuniz",9,12
15571,"how to build a energy producing bicycle",19,16
15571,"how to paint the outside of your house",33,9
15571,"how to rwire the jandy ji8000 pool control sy",68,13
15571,"how to write a research paper properly",13,16
15571,"how to pedal your way to generating energy",19,16
15571,"how to reset automatic jandy valves",67,12
15571,"how to build your vocabulary",71,16
16473,"how to take care of a lip piercing",33,0
16473,"how to read drum music",15,20
17197,"how to do dial london from new york city",28,14
17197,"how do you get from new york city to ocean ci",88,8
17545,"how to convert ruger 1022 to full automatic",41,16
18485,"how to create lineweaver-burke plot in excel",14,16
18485,"howard university average mcat score",25,21
18485,"how extend the axis on a lineweaver-burke plo",14,17
18485,"how to recieve sat scores from 1999",34,2
18485,"how to plot a lineweaver-burk plot",13,1
18485,"how to determine inhibition with lineweaver-b",14,21
18485,"how to receive sat scores from 1999",34,2
18485,"how to create lineweaver-burke plot",14,16
